COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
21031,42101,0.009117551,0.007633588,0.000000000,0.008982036
21031,42256,0.064039944,0.017811705,0.000000000,0.061635350
21031,42339,0.004667318,0.000000000,0.000000000,0.004439397
21031,42721,0.006295452,0.000000000,0.037500000,0.006297749
21033,42211,0.000936330,0.000000000,0.000000000,0.000863309
21033,42064,0.002340824,0.000000000,0.000000000,0.002158273
21033,42411,0.100967541,0.050980392,0.187500000,0.097697842
21033,42445,0.824750312,0.943137255,0.812500000,0.833381295
21033,42408,0.071004994,0.005882353,0.000000000,0.065899281
21035,42076,0.028026424,0.004197761,0.003120125,0.025662719
21035,42049,0.032247977,0.010261194,0.014040562,0.030174845
21035,42054,0.014384552,0.001865672,0.001560062,0.013148618
21035,42040,0.006410507,0.001399254,0.003120125,0.005957417
21035,42066,0.000469061,0.000000000,0.000000000,0.000423012
21035,42025,0.001719892,0.000932836,0.000000000,0.001621545
21035,42071,0.853340109,0.964552239,0.975039002,0.864495206
21035,42036,0.021772271,0.005130597,0.001560062,0.020057812
21035,42048,0.001133565,0.000466418,0.000000000,0.001057530
21035,42020,0.040495642,0.011194030,0.001560062,0.037401297
21037,41001,0.155560790,0.134271978,0.047098976,0.145586847
21037,41076,0.189349493,0.191277473,0.191126280,0.189598030
21037,41072,0.015352662,0.054258242,0.000227531,0.016219519
21037,41075,0.166074258,0.162774725,0.171558589,0.166342647
21037,41074,0.055907670,0.040865385,0.093742890,0.058175489
21037,41085,0.007815511,0.000000000,0.000682594,0.006813679
21037,41071,0.252580189,0.323489011,0.378839590,0.266677776
21037,41073,0.065414757,0.065590659,0.110125142,0.069062564
21037,41059,0.026187315,0.008928571,0.004323094,0.023477569
21037,41007,0.061817481,0.015796703,0.002275313,0.054490918
21037,41099,0.000000000,0.001030220,0.000000000,0.000055546
21037,41006,0.003939874,0.001717033,0.000000000,0.003499417
21039,42023,0.485327314,0.425925926,0.486111111,0.483981205
21039,42039,0.049209932,0.000000000,0.000000000,0.046561299
21039,42021,0.316027088,0.370370370,0.208333333,0.313968390
21039,42035,0.149435666,0.203703704,0.305555556,0.155489107
21041,41083,0.071832461,0.010504202,0.024038462,0.064663858
21041,40075,0.018638743,0.000000000,0.028846154,0.017402455
21041,40006,0.010680628,0.000000000,0.014423077,0.009891922
21041,40045,0.037277487,0.014705882,0.033653846,0.035171277
21041,41045,0.084607330,0.054621849,0.038461538,0.080234475
21041,41098,0.062617801,0.000000000,0.024038462,0.055687855
21041,40011,0.009214660,0.002100840,0.000000000,0.008243268
21041,41008,0.705130890,0.918067227,0.836538462,0.728704891
21043,41173,0.000000000,0.000000000,0.003717472,0.000073937
21043,41146,0.012512788,0.000000000,0.003717472,0.011829945
21043,41168,0.045408043,0.009107468,0.007434944,0.043179298
21043,41164,0.440387188,0.083788707,0.111524164,0.419371534
21043,41143,0.479735579,0.903460838,0.840148699,0.504103512
21043,41132,0.013378453,0.000000000,0.003717472,0.012643253
21043,41181,0.000000000,0.000000000,0.003717472,0.000073937
21043,41180,0.005508775,0.003642987,0.000000000,0.005323475
21043,41141,0.000393484,0.000000000,0.000000000,0.000369686
21043,41179,0.000078697,0.000000000,0.000000000,0.000073937
21043,41142,0.000000000,0.000000000,0.003717472,0.000073937
21043,40351,0.002596994,0.000000000,0.022304833,0.002883549
21045,42541,0.034151694,0.019305019,0.096045198,0.035071826
21045,42565,0.044438349,0.023166023,0.005649718,0.042836806
21045,42539,0.624468523,0.826254826,0.632768362,0.631422285
21045,42733,0.013989851,0.007722008,0.050847458,0.014624046
21045,42728,0.000411466,0.000000000,0.000000000,0.000388249
21045,42567,0.000274311,0.000000000,0.000000000,0.000258833
21045,40328,0.017555891,0.011583012,0.016949153,0.017341789
21045,42528,0.075024002,0.007722008,0.039548023,0.071955481
21045,40437,0.044986970,0.027027027,0.000000000,0.043354471
21045,40489,0.022493485,0.003861004,0.005649718,0.021483111
21045,40484,0.001097243,0.000000000,0.000000000,0.001035331
21045,40442,0.036209025,0.007722008,0.079096045,0.036236573
21045,40009,0.004800439,0.000000000,0.028248588,0.005176653
21045,42566,0.041969552,0.046332046,0.016949153,0.041542643
21045,42642,0.005074750,0.000000000,0.000000000,0.004788404
21045,42553,0.002880263,0.000000000,0.005649718,0.002847159
21045,42516,0.030174187,0.019305019,0.022598870,0.029636340
21047,42442,0.001448250,0.000000000,0.002534854,0.001354157
